wavelength (nm),intensity (%)
712.1155213073372,0.16863725490196135
711.527887651461,0.169447712418301
710.940253995585,0.170307189542483
710.3526203397088,0.16985947712418234
709.7649866838327,0.1702483660130712
709.1773530279565,0.17087908496731954
708.5897193720805,0.17087581699346333
708.0020857162043,0.17055228758169866
707.4144520603282,0.16989869281045689
706.8268184044521,0.1693235294117641
706.239184748576,0.1679869281045746
705.6515510926998,0.1674313725490191
705.0639174368237,0.16735294117647007
704.4762837809476,0.16085947712418283
703.8886501250714,0.15476143790849656
703.3010164691954,0.1538366013071894
702.7133828133192,0.1519313725490195
702.1257491574431,0.15099999999999988
701.538115501567,0.14830718954248354
700.9504818456909,0.14676470588235282
700.3628481898147,0.1465392156862744
699.7752145339387,0.14552941176470577
699.1875808780625,0.14539869281045747
698.5999472221863,0.14568954248366003
698.0123135663102,0.14654248366013056
697.4246799104341,0.14542156862745118
696.837046254558,0.14531372549019636
696.2494125986818,0.14558496732026172
695.6617789428058,0.1456274509803923
695.0741452869296,0.145575163398693
694.4865116310535,0.14644771241830082
693.8988779751774,0.14703594771241846
693.3112443193013,0.14780065359477126
692.7236106634251,0.14955555555555558
692.135977007549,0.14955555555555555
691.5483433516729,0.15066993464052295
690.9607096957967,0.15209477124183013
690.3730760399206,0.15206862745098046
689.7854423840445,0.15146405228758178
689.1978087281684,0.15268300653594788
688.6101750722922,0.1526830065359479
688.0225414164162,0.15313725490196092
687.43490776054,0.15548039215686277
686.8472741046639,0.155562091503268
686.2596404487878,0.15680065359477124
685.6720067929116,0.156983660130719
685.0843731370355,0.15898039215686277
684.4967394811594,0.1601274509803922
683.9091058252833,0.1607973856209152
683.3214721694071,0.16151307189542516
682.733838513531,0.16107843137254946
682.1462048576549,0.16141830065359525
681.5585712017788,0.1621045751633988
680.9709375459026,0.16254248366013094
680.3833038900266,0.16291830065359528
679.7956702341504,0.16498039215686316
679.2080365782742,0.16869281045751675
678.6204029223982,0.17276797385620965
678.032769266522,0.17552287581699375
677.4451356106459,0.17390196078431397
676.8575019547698,0.16966013071895433
676.2698682988937,0.16706535947712467
675.6822346430175,0.16750980392156892
675.0946009871415,0.18917647058823467
674.5069673312653,0.23231699346405196
673.9193336753892,0.30684640522875734
673.331700019513,0.39002614379085154
672.7440663636369,0.47986928104575216
672.1564327077608,0.5676274509803934
671.5687990518846,0.6314673202614403
670.9811653960086,0.6784542483660101
670.3935317401324,0.6976339869281011
669.8058980842563,0.7047549019607812
669.2182644283802,0.6944934640522855
668.6306307725041,0.6697418300653593
668.0429971166279,0.6334150326797391
667.4553634607519,0.561513071895425
666.8677298048757,0.47060130718954263
666.2800961489995,0.3698758169934647
665.6924624931235,0.2759411764705877
665.1048288372473,0.20593464052287555
664.5171951813712,0.16800653594771237
663.929561525495,0.16795751633986955
663.341927869619,0.17281045751633992
662.7542942137428,0.18501633986928118
662.1666605578667,0.18389215686274546
661.5790269019906,0.1813431372549021
660.9913932461145,0.17853267973856235
